strategy,symbol,params,return_pct,sharpe,max_dd,trades,win_rate
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 5, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 40, 'leverage': 2}",-1.2545452804568982,0.20574001301270853,39.53150639546299,188,31.914893617021278
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 5, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 35, 'leverage': 2}",-32.2644842908273,-0.10736683083808757,53.53749216147652,143,30.069930069930066
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 5, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 40, 'leverage': 2}",-32.2644842908273,-0.10736683083808757,53.53749216147652,143,30.069930069930066
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 5, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 35, 'leverage': 2}",-19.641394298315575,-0.02895804563065345,57.6804722839294,98,40.816326530612244
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 5, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 40, 'leverage': 2}",-19.641394298315575,-0.02895804563065345,57.6804722839294,98,40.816326530612244
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 10, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 35, 'leverage': 2}",-11.42823140674351,0.17474499429466336,50.89791782996473,153,33.98692810457516
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 10, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 40, 'leverage': 2}",-11.42823140674351,0.17474499429466336,50.89791782996473,153,33.98692810457516
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 10, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 35, 'leverage': 2}",-32.29527453415067,-0.03115104174762793,66.4575792039838,120,35.0
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 10, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 40, 'leverage': 2}",-32.29527453415067,-0.03115104174762793,66.4575792039838,120,35.0
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 10, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 35, 'leverage': 2}",-8.664805823864606,0.13469153557262545,59.77368279710252,83,34.93975903614458
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 10, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 40, 'leverage': 2}",-8.664805823864606,0.13469153557262545,59.77368279710252,83,34.93975903614458
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 5, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 35, 'leverage': 2}",14.498660638191335,0.3053123976362777,39.92797047628781,165,34.54545454545455
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 5, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 40, 'leverage': 2}",14.498660638191335,0.3053123976362777,39.92797047628781,165,34.54545454545455
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 5, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 35, 'leverage': 2}",-10.357314421334706,0.09743938495769688,49.05577755463219,124,33.064516129032256
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 5, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 40, 'leverage': 2}",-10.357314421334706,0.09743938495769688,49.05577755463219,124,33.064516129032256
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 5, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 35, 'leverage': 2}",-7.675064521783089,0.08495702704898093,57.13511993842653,85,44.70588235294118
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 5, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 40, 'leverage': 2}",-7.675064521783089,0.08495702704898093,57.13511993842653,85,44.70588235294118
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 10, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 35, 'leverage': 2}",19.413849098152514,0.3497944602247975,52.582135389016074,134,36.56716417910448
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 10, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 40, 'leverage': 2}",19.413849098152514,0.3497944602247975,52.582135389016074,134,36.56716417910448
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 10, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 35, 'leverage': 2}",5.658233989558721,0.25410488509023355,61.61024645074159,104,37.5
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 10, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 40, 'leverage': 2}",5.658233989558721,0.25410488509023355,61.61024645074159,104,37.5
trend_strength_sizing,ETHUSDT,"{'entry_period': 20, 'exit_period': 10, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 35, 'leverage': 2}",22.801563092100924,0.3544851633737259,59.78707165970746,71,38.028169014084504
