strategy,symbol,timeframe,total_return,annual_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,total_trades,profit_factor,final_value
trend_donchian,BTCUSDT,4h,-30.037457829101662,-16.356385676551287,-0.4386049227491124,-42.82289536917553,-0.38195422181389505,35.0,40.0,0.667964615432196,6996.254217089834
trend_donchian_adaptive,BTCUSDT,4h,-29.934135668448462,-16.29464513452468,-0.39731482870256857,-38.48523587616369,-0.4233999029382841,34.883720930232556,43.0,0.6947046453576303,7006.58643315515
trend_donchian_adx_slope,BTCUSDT,4h,19.101257745433724,9.133522689150709,0.42290830263939716,-39.09088983592154,0.2336483699267879,42.0,50.0,1.185404471580606,11910.125774543374
trend_donchian_atr_trail,BTCUSDT,4h,-21.48545057680648,-11.39156393255012,-0.2089843312268823,-41.857893289934545,-0.2721485253365443,38.46153846153847,39.0,0.7498581470387056,7851.454942319348
trend_donchian_chandelier,BTCUSDT,4h,-19.972123335413524,-10.541698728074167,-0.1807328490526507,-41.49013661697256,-0.25407722383256326,38.46153846153847,39.0,0.7687335949613704,8002.787666458651
trend_donchian_keltner,BTCUSDT,4h,74.56466418393447,32.12292162374191,1.0001333362698976,-35.35470007401403,0.9085898496237702,45.0,60.0,1.6959571355200755,17456.46641839346
trend_donchian_mtf,BTCUSDT,4h,15.671842583619036,7.55084499138956,0.4687025092758518,-16.55688990382228,0.45605455102086484,50.0,14.0,1.5529978014707144,11567.184258361904
trend_donchian_pyramid,BTCUSDT,4h,-23.384952072063463,-12.469977763091745,-0.20304499831248238,-39.63783988404399,-0.3145978135935574,37.254901960784316,51.0,0.8206334955576865,7661.504792793649
trend_donchian_turtle,BTCUSDT,4h,-14.923238006153024,-7.762934785495823,0.17935173799387652,-60.926215345699006,-0.12741534561844134,37.77777777777778,90.0,0.9404884448068107,8507.676199384696
trend_donchian_v2,BTCUSDT,4h,-9.797929477522993,-5.0252293909182395,-0.07120922139535045,-31.0405761511225,-0.16189227179459154,37.93103448275862,29.0,0.8530323956105809,9020.20705224771
trend_donchian_volume,BTCUSDT,4h,-26.286132549817392,-14.143219574583043,-0.5556768394284944,-33.00236747951938,-0.428551666281519,36.36363636363637,22.0,0.4925248163767919,7371.386745018261
volatility_expansion,BTCUSDT,4h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
walk_forward_trend,BTCUSDT,4h,4.251186464759685,2.1034702959501272,0.257639650833856,-48.45391569457001,0.04341177107768512,40.298507462686565,67.0,1.0296578386882187,10425.118646475978
