strategy,symbol,timeframe,entry_period,exit_period,adx_threshold,atr_stop_mult,leverage,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,max_dd_duration_bars,calmar_ratio,total_trades,win_rate,avg_trade_pnl,avg_win,avg_loss,best_trade,worst_trade,profit_factor,payoff_ratio,net_profit,total_fees,volatility_ann,initial_capital,final_value,total_pnl,annual_return,maker_fee,taker_fee,slippage_bps,bb_period,bb_std,rsi_oversold,rsi_overbought,grid_count,ema_period
mean_reversion_bb,BTCUSDT,1h,,,,,2,9.36085635613861,3.9793137116370003,0.5762851561513478,0.11075818452823294,-7.162663095752908,7141.0,0.5555634347784038,30.0,63.33333333333333,31.20285452046211,172.5427998299169,-212.92977828677797,322.91785592249386,-327.0812953162175,1.3996561440650273,0.8103272413008052,936.0856356138634,0.0,7.223744207181765,10000.0,10936.08563561387,936.0856356138702,3.9793137116370003,0.02,0.04,2.0,15.0,2.5,30.0,75.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,1,9.36085635613861,3.9793137116370003,0.5762851561513478,0.11075818452823294,-7.162663095752908,7141.0,0.5555634347784038,30.0,63.33333333333333,31.20285452046211,172.5427998299169,-212.92977828677797,322.91785592249386,-327.0812953162175,1.3996561440650273,0.8103272413008052,936.0856356138634,0.0,7.223744207181765,10000.0,10936.08563561387,936.0856356138702,3.9793137116370003,0.02,0.04,2.0,15.0,2.5,30.0,75.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,2,7.7617421624391145,3.313530978914936,0.381754245358357,0.09408749707910562,-11.771352366250486,7141.0,0.28149110448983955,57.0,59.64912280701754,13.617091513051113,165.0218527915491,-210.19864255081544,333.79887501431443,-349.9112733064448,1.1605467316275602,0.7850757302186436,776.1742162439134,0.0,9.79560731288371,10000.0,10776.174216243904,776.1742162439041,3.313530978914936,0.02,0.04,2.0,15.0,2.5,30.0,70.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,1,7.7617421624391145,3.313530978914936,0.381754245358357,0.09408749707910562,-11.771352366250486,7141.0,0.28149110448983955,57.0,59.64912280701754,13.617091513051113,165.0218527915491,-210.19864255081544,333.79887501431443,-349.9112733064448,1.1605467316275602,0.7850757302186436,776.1742162439134,0.0,9.79560731288371,10000.0,10776.174216243904,776.1742162439041,3.313530978914936,0.02,0.04,2.0,15.0,2.5,30.0,70.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,2,4.165913793077088,1.7957892459820712,0.3700641711461381,0.049321700972716015,-5.376282660060427,7141.0,0.3340206160146139,15.0,60.0,27.772758620513898,184.80494946860125,-207.77552765161713,292.3471572544171,-301.0540151954668,1.3341678268660355,0.8894452179106903,416.59137930770845,0.0,5.170838918241135,10000.0,10416.591379307716,416.5913793077161,1.7957892459820712,0.02,0.04,2.0,15.0,2.5,25.0,75.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,1,4.165913793077088,1.7957892459820712,0.3700641711461381,0.049321700972716015,-5.376282660060427,7141.0,0.3340206160146139,15.0,60.0,27.772758620513898,184.80494946860125,-207.77552765161713,292.3471572544171,-301.0540151954668,1.3341678268660355,0.8894452179106903,416.59137930770845,0.0,5.170838918241135,10000.0,10416.591379307716,416.5913793077161,1.7957892459820712,0.02,0.04,2.0,15.0,2.5,25.0,75.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,2,5.621681250244656,2.413750549839455,0.3053805180146888,0.06828275571003187,-12.300651353340541,9128.0,0.19622949065895948,54.0,57.407407407407405,10.410520833786357,166.10200741716525,-199.43452630033306,297.99979229993653,-282.41639149829535,1.1225569756941685,0.8328648529343831,562.1681250244633,0.0,9.19477655531301,10000.0,10562.168125024467,562.1681250244674,2.413750549839455,0.02,0.04,2.0,15.0,2.5,35.0,75.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,1,5.621681250244656,2.413750549839455,0.3053805180146888,0.06828275571003187,-12.300651353340541,9128.0,0.19622949065895948,54.0,57.407407407407405,10.410520833786357,166.10200741716525,-199.43452630033306,297.99979229993653,-282.41639149829535,1.1225569756941685,0.8328648529343831,562.1681250244633,0.0,9.19477655531301,10000.0,10562.168125024467,562.1681250244674,2.413750549839455,0.02,0.04,2.0,15.0,2.5,35.0,75.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,2,7.062199832861861,3.020528772837827,0.29752805248300285,0.09436954343565189,-17.275607733947428,17214.0,0.17484356089553585,85.0,54.11764705882353,8.308470391602146,192.34151698634597,-208.75614866886494,398.0672326176542,-328.6923444924371,1.0867433357777136,0.9213693498984965,706.2199832861825,0.0,12.722528748619375,10000.0,10706.219983286179,706.2199832861788,3.020528772837827,0.02,0.04,2.0,20.0,2.5,35.0,75.0,,
mean_reversion_bb,BTCUSDT,1h,,,,,1,7.062199832861861,3.020528772837827,0.29752805248300285,0.09436954343565189,-17.275607733947428,17214.0,0.17484356089553585,85.0,54.11764705882353,8.308470391602146,192.34151698634597,-208.75614866886494,398.0672326176542,-328.6923444924371,1.0867433357777136,0.9213693498984965,706.2199832861825,0.0,12.722528748619375,10000.0,10706.219983286179,706.2199832861788,3.020528772837827,0.02,0.04,2.0,20.0,2.5,35.0,75.0,,
